date,truck_number,video_name,test_number,truck_direction
2024-05-30 15:15:35,"['KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795']",vids/GH020013_2024_05_16_11-50-50.mp4,28,Truck Out
2024-05-30 15:15:48,"['KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795']",vids/GH020013_2024_05_16_11-50-50.mp4,29,Truck Out
2024-05-30 16:23:56,['KTU7953795'],vids/GH020013_2024_05_16_11-50-50.mp4,30,Truck Out
2024-05-30 16:24:08,"['KTU7953795', 'KTU7953795']",vids/GH020013_2024_05_16_11-50-50.mp4,31,Truck Out
2024-05-30 16:24:24,"['KTU7953795', 'KTU7953795', 'KTU7953795']",vids/GH020013_2024_05_16_11-50-50.mp4,32,Truck Out
2024-05-30 16:24:42,"['KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795']",vids/GH020013_2024_05_16_11-50-50.mp4,33,Truck Out
2024-05-30 16:25:01,"['KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795', 'KTU7953795']",vids/GH020013_2024_05_16_11-50-50.mp4,34,Truck Out
2024-05-30 16:46:30,['KTU7953795'],vids/GH020013_2024_05_16_11-50-50.mp4,35,Truck Out
2024-05-30 17:10:01,['KTU7953795'],vids/GH020013_2024_05_16_11-50-50.mp4,36,Truck Out
2024-05-30 17:13:27,['KTU7953795'],vids/GH020013_2024_05_16_11-50-50.mp4,37,Truck Out
2024-05-30 17:18:49,['KTU7953795'],vids/GH020013_2024_05_16_11-50-50.mp4,38,Truck Out
2024-05-30 17:23:48,['KTU7953795'],vids/GH020013_2024_05_16_11-50-50.mp4,39,Truck Out
2024-05-31 10:44:45,['KTU7953795'],vids/GH020013_2024_05_16_11-50-50.mp4,40,Truck Out
2024-05-31 10:49:01,['KTU7953795'],vids/GH020013_2024_05_16_11-50-50.mp4,41,Truck Out
2024-05-31 10:51:36,['KTU7953795'],vids/GH020013_2024_05_16_11-50-50.mp4,42,Truck Out
2024-05-31 11:22:17,['TCKU1589513'],vids/GH040013_2024_05_16_11-48-50_2.mp4,43,Truck In
2024-05-31 11:24:43,['TCKU1589513'],vids/GH040013_2024_05_16_11-48-50_2.mp4,44,Truck In
2024-05-31 11:25:45,['TCKU1589513'],vids/GH040013_2024_05_16_11-48-50_2.mp4,45,Truck In
